RIDOT MAP Bike Paths,Type,RIDOTbike15 FNODES,RIDOTbike15 Name,Link,OBJECTID,ID,Name,Type,Street,Town,OwnerTyp,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,Lon,Lat,Rest Room,Walking Path,Bike Path,State Grant,LWCF Grant,Summary
,,,,,121,121,Independence Park,Local Park,Thames,Bristol,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-71.279487,41.673785,1,1,1,Y,N,Independence Park is a Local Park located in Bristol
,,,,,202,202,Herbert F. Paine Memorial Park,Local Park,Main,Coventry,Municipal,1,4,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,-71.569691,41.692763,0,1,1,Y,Y,Herbert F. Paine Memorial Park is a Local Park located in Coventry
,,,,,234,234,City Park,Local Park,Warwick Park,Warwick,Municipal,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.412482,41.692601,1,1,1,Y,Y,City Park is a Local Park located in Warwick
,,,,,238,238,Riverpoint Park,Athletic Facility,Hay,West Warwick,Municipal,20,5,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-71.515249,41.717512,1,1,1,Y,Y,Riverpoint Park is a Athletic Facility located in West Warwick
,,,,,624,624,East Bay Bike Path,State Park,Franklin,Warren,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.28067,41.725813,0,1,1,N,N,East Bay Bike Path is a State Park located in Warren
,,,,,666,666,Father Tirocchi Playground,Local Park,Pontiac,Warwick,Municipal,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.48526,41.723669,0,1,1,N,Y,Father Tirocchi Playground is a Local Park located in Warwick
,,,,,709,709,Curtis Corner Playfields,Athletic Facility,Curtis Corner,South Kingstown,Municipal,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.521948,41.463874,0,1,1,Y,N,Curtis Corner Playfields is a Athletic Facility located in South Kingstown
,,,,,750,750,Riverside Square Park,Local Park,Bullocks Point,East Providence,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.362021,41.771786,0,1,1,N,N,Riverside Square Park is a Local Park located in East Providence
,,,,,754,754,South County Bike Path,Local Park,Ministerial,South Kingstown,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.554322,41.474304,0,1,1,N,N,South County Bike Path is a Local Park located in South Kingstown
Ten Mile River Greenway,Bike Path,,,http://www.dot.ri.gov/community/bikeri/tenmile.php,929,929,Ten Mile River Greenway,Local Park,Ferris,East Providence,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.345577,41.84781,1,1,1,N,N,Ten Mile River Greenway is a Local Park located in East Providence
,,,,,969,969,Washington Secondary Bikepath,Local Park,Log Bridge,Coventry,State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-71.699211,41.690819,0,1,1,N,N,Washington Secondary Bikepath is a Local Park located in Coventry
,,,,,971,971,Riverside Park,Local Park,Aleppo,Providence,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-71.448957,41.819753,1,1,1,N,N,Riverside Park is a Local Park located in Providence
