FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,GSBI_,GSBI_ID,GWTYPE,CODE Value
212,214,0,0,4806.715,48,47,13,East Bay Bikeway - State Existing
214,256,0,0,18364.410,49,48,13,East Bay Bikeway - State Existing
256,279,0,0,8594.791,50,49,13,East Bay Bikeway - State Existing
154,139,0,0,2983.800,82,81,13,East Bay Bikeway - State Existing
162,157,0,0,5018.412,83,82,13,East Bay Bikeway - State Existing
157,154,0,0,3493.890,84,83,13,East Bay Bikeway - State Existing
195,212,0,0,6488.205,111,110,13,East Bay Bikeway - State Existing
162,195,0,0,17307.340,112,111,13,East Bay Bikeway - State Existing
137,136,0,0,1599.555,113,112,13,East Bay Bikeway - State Existing
139,137,0,0,226.555,114,113,13,East Bay Bikeway - State Existing
38,41,0,0,794.985,310,309,7,Trail Corridor - Local Proposed
45,39,0,0,9694.027,311,310,7,Trail Corridor - Local Proposed
57,57,0,0,2944.008,312,311,7,Trail Corridor - Local Proposed
73,83,0,0,3063.023,318,317,7,Trail Corridor - Local Proposed
64,85,0,0,6898.853,319,318,7,Trail Corridor - Local Proposed
86,91,0,0,9806.396,321,320,7,Trail Corridor - Local Proposed
94,95,0,0,1855.697,322,321,7,Trail Corridor - Local Proposed
99,97,0,0,197.090,323,322,7,Trail Corridor - Local Proposed
93,99,0,0,7014.820,324,323,7,Trail Corridor - Local Proposed
102,100,0,0,5371.775,326,325,7,Trail Corridor - Local Proposed
96,107,0,0,5216.578,327,326,7,Trail Corridor - Local Proposed
104,110,0,0,4724.156,328,327,7,Trail Corridor - Local Proposed
165,161,0,0,2047.388,331,330,7,Trail Corridor - Local Proposed
179,174,0,0,4103.600,333,332,7,Trail Corridor - Local Proposed
184,166,0,0,12413.990,336,335,7,Trail Corridor - Local Proposed
185,184,0,0,775.163,337,336,7,Trail Corridor - Local Proposed
194,178,0,0,10319.880,339,338,7,Trail Corridor - Local Proposed
254,267,0,0,5012.312,344,343,7,Trail Corridor - Local Proposed
294,279,0,0,4990.997,349,348,7,Trail Corridor - Local Proposed
302,306,0,0,1422.059,350,349,7,Trail Corridor - Local Proposed
306,302,0,0,440.176,351,350,7,Trail Corridor - Local Proposed
300,309,0,0,960.096,352,351,7,Trail Corridor - Local Proposed
309,310,0,0,6.597,353,352,7,Trail Corridor - Local Proposed
310,323,0,0,5196.836,354,353,7,Trail Corridor - Local Proposed
327,324,0,0,3578.020,355,354,7,Trail Corridor - Local Proposed
