id,name,segment_ids,description,part_of
1,Beavertail,28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28; 28,,
2,Black Point,29,,
3,Burlingame State Park,30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 30; 31; 30; 30; 30; 30; 30; 30; 30,,
4,Burlingame State Park (North Camp),32; 33; 33; 32; 32; 33; 32; 32; 32; 33; 33; 32; 32; 33; 34; 32; 33; 33; 33; 33; 33; 34; 33; 32; 32; 33; 33; 33; 33; 33; 32; 33; 33; 33; 32; 33; 33; 33; 33; 32; 32; 33; 33; 32,,
5,Cocumcussoc,35; 35; 35; 35; 35; 35; 35; 35; 35; 35; 35; 35; 35; 35; 35,,
6,Colt State Park,40; 37; 40; 37; 40; 37; 37; 38; 38; 37; 37; 37; 37; 37; 37; 38; 39; 36; 37; 39; 37; 37; 37; 37; 38; 38; 37; 37; 37; 37; 37; 38; 37; 37; 37; 38; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 38; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37; 37,,
7,Diamond Hill Reservation,41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41; 41,,
8,Fort Adams,43; 42; 43,,
9,George Washington Campground,45; 45; 44; 45; 45; 45; 45; 44; 45; 44; 44; 45; 44; 45; 44; 45; 44; 45; 45; 45; 45; 45; 44; 44; 45; 44; 44; 45,,
10,Goddard Park,46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46; 46,,
11,John H. Chafee Rome Point Preserve,48; 48; 47; 47; 47; 48; 48; 48; 47; 47; 47; 47; 48; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47; 47,,
12,Lincoln Woods State Park,49; 49; 49; 51; 51; 49; 49; 49; 51; 52; 51; 51; 51; 49; 51; 51; 51; 51; 52; 49; 51; 49; 49; 49; 51; 49; 49; 49; 49; 49; 50; 51; 49; 51; 51; 51; 49; 51; 49; 51; 51; 52; 52; 52; 51; 52; 49; 49; 50; 49; 49; 49; 52; 49; 52; 52; 49; 52; 51; 51; 52; 49; 51; 49; 51; 51; 51; 49; 52; 51; 49; 52; 52; 52; 51; 49; 52; 51; 52; 51; 52; 51; 51; 50; 51; 51; 50; 51; 51; 51; 51; 51; 50; 51; 50; 50; 51; 51; 50; 51; 51; 51; 51; 49; 49; 50; 51; 51; 51; 49; 51; 50; 51; 51; 51; 51; 51; 51; 51; 50; 51; 50; 51; 51; 51; 51; 51; 51; 51; 50; 51; 51; 51; 51; 51; 50; 50; 51; 51; 51; 51; 50; 51; 51; 51; 51; 51; 50,,
13,Rodman Hollow,53; 53; 53; 54; 54; 53; 53; 53; 54; 53; 53; 54; 53; 53; 53; 53; 53; 53; 53; 53; 53; 53; 53; 54; 53; 54,,
14,Snake Den State Park,55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55; 55,,
15,Trestle Trail,56,,
