Park/Beach,Beavertail State Park,Blackstone River Bikeway State Park,Brenton Point State Park,Burlingame State Park,Pulaski State Park and Recreational Area,Colt State Park,East Bay Bike Path State Park,Fishermen's Memorial State Park,Fort Adams State Park,Fort Wetherill State Park,Goddard Memorial State Park,Haines Memorial State Park,Lincoln Woods State Park,Snake Den State Park,World War II Memorial State Park,Rocky Point State Park,Arcadia Management Area,Beach Pond,Dame Farm,John H. Chafee Nature Preserve,George Washington State Campground and Management Area,Charlestown Breachway State Beach,East Beach State Beach,East Matunuck State Beach,Misquamicut State Beach,Roger Wheeler State Beach,Salty Brine State Beach,Scarborough State Beach Complex,
Camping,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,Yes,Yes,,,,,,
Beach Camping,,,,,,,,,,,,,,,,,,,,,,,Yea,,,,,,
Cabin Camping ,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Group Camping,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Tent Camping,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Trailer Camping,,,,Yes,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,
Trailer hook-ups available,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Hunting,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,
Playground,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,Yes,,,
Tennis,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,
Horseshoes,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,
Archery,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
Baseball Fields,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Ice Skating,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,
Road Races,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Golf,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Scuba,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
Soccer,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
Rugby,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
Sailing,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
Windsurfing,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,
Concerts,,,,,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,
Mtn Biking,,,,,,,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,
Biking,,Yes,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,
Horseback,,,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,
Jogging,,Yes,,,,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,
Snowmobile,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Cross Country Ski,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Game Fileds,,,,,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,
EV Charging,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,
Swimming,,,,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Boating,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,
Shellfishing,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,
Freshwater Fishing,,,,Yes,Yes,,,,,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,,Yes,,,,
Saltwater Fishing,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,Yes,,Yes,Yes,,,,Yes,,
Picnic Area,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,
Hiking Trails,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,,,Yes,,,,Yes,,,,,,,,
