trailhead_name,trailhead_id,trail_id,address,municipal,county,parking,restrooms,water,kiosk,geometry
,,1,,,,,,,,
,,2,"260 Arcadia Rd, Exeter, RI 02832","Richmond, Exeter, Hopkinton, and West Greenwich",washington,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,,,,,,,,
,,6,,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,,,,,,,,
,,10,,,,,,,,
,,11,,,,,,,,
,,19,,,,,,,,
,,12,,,,,,,,
,,13,,,,,,,,
,,14,,,,,,,,
,,15,,,,,,,,
,,16,,,,,,,,
,,17,,,,,,,,
,,18,,,,,,,,
,,19,,,,,,,,
,,20,,,,,,,,
,,21,,,,,,,,
,,22,,,,,,,,
,,23,,,,,,,,
,,24,,,,,,,,
,,25,,,,,,,,
,,26,,,,,,,,
,,27,,,,,,,,
,,28,,,,,,,,
,,29,,,,,,,,
,,30,,,,,,,,
