trail_id,trail_name,steward_id,trail_segment_id,Type,trail_rating,hike,bike,horse,ski,motor,accessible,Comments,length,geometry
1,Angell Loop,,451,Single Track,,,,,,,,Angell Loop,6106.71232,
2,Arcadia Trail,,154,Single Track,,,,,,,,Arcadia Trail,2893.007468,
2,Arcadia Trail,,168,Single Track,,,,,,,,Arcadia Trail,3226.456617,
2,Arcadia Trail,,1047,Single Track,,,,,,,,Arcadia Trail,1512.532524,
3,Bateman Trail,,189,Double Track,,,,,,,,Bateman Trail,1427.894061,
4,Beach Pond Bypass,,103,Single Track,,,,,,,,"Beach Pond Bypass, fair",789.6360614,
4,Beach Pond Bypass,,104,Single Track,,,,,,,,"Beach Pond Bypass, fair",3672.875772,
4,Beach Pond Bypass,,105,Gravel Road,,,,,,,,"Beach Pond Bypass, fair",304.6650612,
5,Ben Utter Trail,,228,Single Track,,,,,,,,Ben Utter Trail,7059.385451,
6,Black Farm,,284,Double Track,,,,,,,,Black Farm,2082.844124,
6,Black Farm,,285,Double Track,,,,,,,,Black Farm,550.1349195,
7,Black Point,,249,Single Track,,,,,,,,Black Point,3223.095105,
7,Black Point,,982,Double Track,,,,,,,,Black Point,3223.095105,
8,Breakheart Trail,,203,Single Track,,,,,,,,"Breakheart Trail ,",3648.247304,
8,Breakheart Trail,,204,Double Track,,,,,,,,"Fiske Trail, Breakheart Trail, yellow blazw",3339.266324,
9,Bridle Path,,290,Double Track,,,,,,,,Bridle Path,1040.873337,
9,Bridle Path,,291,Double Track,,,,,,,,Bridle Path,109.6670282,
9,Bridle Path,,292,Double Track,,,,,,,,Bridle Path,368.4401065,
9,Bridle Path,,293,Double Track,,,,,,,,Bridle Path,428.2265756,
9,Bridle Path,,294,Double Track,,,,,,,,Bridle Path,395.8965294,
9,Bridle Path,,295,Double Track,,,,,,,,Bridle Path,394.7834611,
9,Bridle Path,,296,Double Track,,,,,,,,Bridle Path,460.4480201,
9,Bridle Path,,297,Double Track,,,,,,,,Bridle Path,517.9597833,
9,Bridle Path,,298,Double Track,,,,,,,,Bridle Path,648.6331101,
9,Bridle Path,,299,Double Track,,,,,,,,Bridle Path,419.181545,
9,Bridle Path,,300,Double Track,,,,,,,,Bridle Path,1541.91175,
9,Bridle Path,,301,Double Track,,,,,,,,Bridle Path,1385.282092,
9,Bridle Path,,302,Double Track,,,,,,,,Bridle Path,629.3567731,
9,Bridle Path,,303,Double Track,,,,,,,,Bridle Path,624.3517935,
9,Bridle Path,,304,Double Track,,,,,,,,Bridle Path,708.6082304,
9,Bridle Path,,305,Double Track,,,,,,,,Bridle Path,478.82908,
9,Bridle Path,,306,Double Track,,,,,,,,Bridle Path,534.5060032,
9,Bridle Path,,307,Double Track,,,,,,,,Bridle Path,623.7669397,
9,Bridle Path,,308,Double Track,,,,,,,,Bridle Path,683.4383909,
9,Bridle Path,,309,Double Track,,,,,,,,Bridle Path,193.9495032,
9,Bridle Path,,310,Double Track,,,,,,,,Bridle Path,2427.381948,
9,Bridle Path,,311,Double Track,,,,,,,,Bridle Path,380.027138,
9,Bridle Path,,312,Double Track,,,,,,,,Bridle Path,567.2592352,
9,Bridle Path,,313,Double Track,,,,,,,,Bridle Path,973.1522752,
9,Bridle Path,,314,Double Track,,,,,,,,Bridle Path,261.3793794,
9,Bridle Path,,315,Double Track,,,,,,,,Bridle Path,1429.97762,
9,Bridle Path,,316,Double Track,,,,,,,,Bridle Path,747.991408,
9,Bridle Path,,317,Double Track,,,,,,,,Bridle Path,1194.376675,
9,Bridle Path,,318,Double Track,,,,,,,,Bridle Path,691.1003326,
9,Bridle Path,,319,Double Track,,,,,,,,Bridle Path,109.5685362,
9,Bridle Path,,320,Double Track,,,,,,,,Bridle Path,449.4028562,
9,Bridle Path,,321,Double Track,,,,,,,,Bridle Path,600.6192149,
9,Bridle Path,,322,Double Track,,,,,,,,Bridle Path,89.6389663,
9,Bridle Path,,323,Double Track,,,,,,,,Bridle Path,2334.657612,
9,Bridle Path,,324,Double Track,,,,,,,,Bridle Path,1177.037137,
9,Bridle Path,,325,Double Track,,,,,,,,Bridle Path,1514.78283,
9,Bridle Path,,326,Double Track,,,,,,,,Bridle Path,201.1763323,
9,Bridle Path,,327,Double Track,,,,,,,,Bridle Path,536.8777783,
9,Bridle Path,,328,Double Track,,,,,,,,Bridle Path,529.7663281,
9,Bridle Path,,329,Double Track,,,,,,,,Bridle Path,1958.032475,
9,Bridle Path,,330,Double Track,,,,,,,,Bridle Path,377.0868744,
9,Bridle Path,,331,Single Track,,,,,,,,Bridle Path,63.29000595,
9,Bridle Path,,332,Double Track,,,,,,,,Bridle Path,245.4891243,
9,Bridle Path,,333,Single Track,,,,,,,,Bridle Path,170.9973011,
9,Bridle Path,,334,Double Track,,,,,,,,Bridle Path,294.4593925,
9,Bridle Path,,335,Double Track,,,,,,,,Bridle Path,159.9364059,
9,Bridle Path,,975,Double Track,,,,,,,,Bridle Path,3323.819394,
9,Bridle Path,,976,Double Track,,,,,,,,Bridle Path,1629.625682,
9,Bridle Path,,977,Double Track,,,,,,,,Bridle Path,842.8453263,
10,COOP,,788,Double Track,,,,,,,,COOP,4322.745171,
10,COOP,,789,Double Track,,,,,,,,COOP,2307.17618,
10,COOP,,790,Double Track,,,,,,,,COOP,3065.860023,
10,COOP,,791,Double Track,,,,,,,,COOP,2180.088755,
10,COOP,,792,Double Track,,,,,,,,COOP,3875.282286,
10,COOP,,793,Double Track,,,,,,,,COOP,2057.464019,
10,COOP,,794,Double Track,,,,,,,,COOP,4017.461579,
10,COOP,,795,Double Track,,,,,,,,COOP,405.7425286,
10,COOP,,796,Double Track,,,,,,,,COOP,1677.440679,
10,COOP,,797,Double Track,,,,,,,,COOP,802.1875529,
10,COOP,,798,Double Track,,,,,,,,COOP,1198.465932,
10,COOP,,799,Double Track,,,,,,,,COOP,427.6176616,
10,COOP,,800,Double Track,,,,,,,,COOP,287.2954021,
10,COOP,,801,Double Track,,,,,,,,COOP,700.5687755,
10,COOP,,802,Double Track,,,,,,,,COOP,1614.343098,
10,COOP,,803,Double Track,,,,,,,,COOP,724.1663008,
10,COOP,,804,Double Track,,,,,,,,COOP,1473.538895,
10,COOP,,805,Double Track,,,,,,,,COOP,125.1731691,
10,COOP,,851,Single Track,,,,,,,,COOP,4746.347857,
10,COOP,,960,Double Track,,,,,,,,COOP,2516.867919,
10,COOP,,961,Double Track,,,,,,,,COOP,4135.421046,
10,COOP,,979,Double Track,,,,,,,,COOP,2381.472938,
10,COOP,,1158,Single Track,,,,,,,,COOP,12164.9826,
10,COOP,,1191,Single Track,,,,,,,,COOP,1048.26487,
10,COOP,,1192,Single Track,,,,,,,,COOP,219.3951678,
10,COOP,,1193,Single Track,,,,,,,,COOP,1058.026923,
10,COOP,,1194,Single Track,,,,,,,,COOP,473.3258922,
10,COOP,,1195,Single Track,,,,,,,,COOP,293.0738918,
10,COOP,,1196,Single Track,,,,,,,,COOP,1792.026719,
10,COOP,,1197,Single Track,,,,,,,,COOP,424.847339,
10,COOP,,1198,Single Track,,,,,,,,COOP,814.6061547,
10,COOP,,1199,Single Track,,,,,,,,COOP,1392.928314,
10,COOP,,1200,Single Track,,,,,,,,COOP,323.4864215,
10,COOP,,1201,Single Track,,,,,,,,COOP,898.5132215,
11,FISKE TRAIL,,1049,Single Track,,,,,,,,FISKE TRAIL,1171.426356,
12,Gormley Trail,,30,Single Track,,,,,,,,Gormley Trail,350.0644728,
12,Gormley Trail yellow blaze,,83,Single Track,,,,,,,,Gormley Trail yellow blaze,1247.59282,
13,Hicks Trail,,206,Double Track,,,,,,,,Hicks Trail,3429.5098,
14,John B. Hudson Trail,,191,Single Track,,,,,,,,John B. Hudson Trail,552.835362,
14,John B. Hudson Trail,,193,Single Track,,,,,,,,"John B. Hudson, west branch",3015.890324,
14,John B. Hudson Trail,,194,Single Track,,,,,,,,"John B. Hudson, east branch, yellow blaze",2171.943028,
14,John B. Hudson Trail,,242,Single Track,,,,,,,,Hudson Trail,5430.744852,
15,LincWoods,,259,Gravel Road,,,,,,,,LincWoods,311.4473998,
15,LincWoods,,260,Double Track,,,,,,,,LincWoods,291.4539108,
15,LincWoods,,261,Single Track,,,,,,,,LincWoods,998.9056009,
15,LincWoods,,262,Single Track,,,,,,,,LincWoods,1117.753865,
15,LincWoods,,263,Gravel Road,,,,,,,,LincWoods,125.6012833,
15,LincWoods,,264,Single Track,,,,,,,,LincWoods,1235.133086,
15,LincWoods,,265,Single Track,,,,,,,,LincWoods,1807.494619,
15,LincWoods,,266,Single Track,,,,,,,,LincWoods,334.5700317,
15,LincWoods,,267,Single Track,,,,,,,,LincWoods,1154.786895,
15,LincWoods,,268,Single Track,,,,,,,,LincWoods,305.9254261,
15,LincWoods,,269,Single Track,,,,,,,,LincWoods,417.3557357,
15,LincWoods,,336,Single Track,,,,,,,,LincWoods,810.9957197,
15,LincWoods,,337,Double Track,,,,,,,,LincWoods,641.428435,
15,LincWoods,,338,Single Track,,,,,,,,LincWoods,2817.309304,
15,LincWoods,,339,Single Track,,,,,,,,LincWoods,1528.923004,
15,LincWoods,,340,Single Track,,,,,,,,LincWoods,1092.194054,
15,LincWoods,,341,Single Track,,,,,,,,LincWoods,559.0635688,
15,LincWoods,,342,Single Track,,,,,,,,LincWoods,1281.58872,
15,LincWoods,,343,Single Track,,,,,,,,LincWoods,258.9735894,
15,LincWoods,,344,Single Track,,,,,,,,LincWoods,1045.491577,
15,LincWoods,,345,Double Track,,,,,,,,LincWoods,1480.096749,
15,LincWoods,,346,Single Track,,,,,,,,LincWoods,1287.057926,
15,LincWoods,,347,Single Track,,,,,,,,LincWoods,790.8384928,
15,LincWoods,,348,Single Track,,,,,,,,LincWoods,191.2018015,
15,LincWoods,,349,Single Track,,,,,,,,LincWoods,355.6510565,
15,LincWoods,,350,Single Track,,,,,,,,LincWoods,411.1930308,
15,LincWoods,,351,Paved Road,,,,,,,,LincWoods,1307.453452,
15,LincWoods,,352,Paved Road,,,,,,,,LincWoods,706.0434974,
15,LincWoods,,353,Single Track,,,,,,,,LincWoods,1102.336322,
15,LincWoods,,354,Paved Road,,,,,,,,LincWoods,1388.035194,
15,LincWoods,,355,Paved Road,,,,,,,,LincWoods,185.16786,
15,LincWoods,,356,Paved Road,,,,,,,,LincWoods,2797.889465,
