OBJECTID,KeyID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,Ice Hockey Rink,Street Hockey Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,RestRoom,Walking Path,Bike Path,StateGrant,LWCFGrant,Lon,Lat,Short_Description,Description,Additional_Names,GoRI_Incude_Suggestion,NoGoRI_Incude_Why,Dogs_Allowed,ADA,Stroller_Friendly,Picnic_Area,Acres_Miles,Contact_Info,Contact_Info_Seasonal,About_Links,Map_Links,GoRI_TestFlag,GoRI_subset
1,1,Quinnville Playground,LP,Martin,Lincoln,MUN,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.43224027940,41.92974987500,,,,,,,,,,,,,,,,N
2,2,Berkeley Oval,LP,Martin,Cumberland,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.42845791110,41.92677474900,,,,,,,,,,,,,,,,N
3,3,Spring Grove Beach,LP,Spring Grove,Glocester,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N,-71.65384875890,41.91343804530,,,,,,,,,,,,,,,,Y
4,4,Lime Acres,LP,Jenckes Hill,Lincoln,MUN,,,,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,Y,-71.46989146790,41.91061852750,,,,,,,,,,,,,,,,Y
5,5,Lonsdale Park / Sam Moore Field,LP,River,Lincoln,MUN,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,Y,-71.41774876550,41.90876808500,,,,,,,,,,,,,,,,N
6,6,Lincoln Almond Little League,LP,Lonsdale,Lincoln,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.40453505230,41.90167976280,,,,,,,,,,,,,,,,N
7,7,Heritage Park,CA,Chestnut Oak,Glocester,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,-71.62888627610,41.89097752980,,,,,,,,,,,,,,,,N
8,8,Russell Lane Field,LP,Russell,Smithfield,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,-71.51606104440,41.89399436150,,,,,,,,,,,,,,,,N
9,9,Crossman St. Playground,LP,Crossman,Central Falls,MUN,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,-71.40091104540,41.88861257550,,,,,,,,,,,,,,,,N
10,10,Sacred Heart Avenue Playground,LP,High Street,Central Falls,MUN,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.38453124710,41.88868245730,,,,,,,,,,,,,,,,N
11,11,Jenks Park,LP,Summit,Central Falls,MUN,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Y,Y,-71.38881589330,41.88765422620,,,,,,,,,,,,,,,,N
12,12,Mendes Field,LP,Louise Ann,Smithfield,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.50958564630,41.88407272850,,,,,,,,,,,,,,,,N
13,13,Galego Court Field,LP,Leonard Jenard,Pawtucket,MUN,,,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,Y,-71.40334571400,41.87969663740,,,,,,,,,,,,,,,,N
14,14,Esmond / War Memorial Park,LP,Farnum Pike,Smithfield,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.50165928600,41.87887119260,,,,,,,,,,,,,,,,N
15,15,Byron-Winsor Park,LP,Winsor Park,Glocester,MUN,,,,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Y,Y,-71.60377837170,41.87687266160,,,,,,,,,,,,,,,,N
16,16,Laurel Hill Playground,LP,Lonsdale,Pawtucket,MUN,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,-71.40009412820,41.87782516550,,,,,,,,,,,,,,,,N
17,17,Burgess Field,LP,Albert,Smithfield,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.54843114080,41.87600694220,,,,,,,,,,,,,,,,N
18,18,Wilkinson Park,LP,Park,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,-71.38701826750,41.87669966330,,,,,,,,,,,,,,,,N
19,19,Collyer Park,LP,Main,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,-71.39251251180,41.87513763810,,,,,,,,,,,,,,,,N
20,20,Mccoy Stadium,AF,Bend,Pawtucket,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.36999667630,41.87305748730,,,,,,,,,,,,,,,,N
21,21,John Santos Park,LP,Mineral Spring,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,-71.39860938750,41.87416644310,,,,,,,,,,,,,,,,N
22,22,Pleasant St. Park,LP,Division,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,-71.38524858250,41.87229164410,,,,,,,,,,,,,,,,N
23,23,Slater Park,LP,Pawtucket,Pawtucket,MUN,,,,0,9,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Y,Y,-71.34632971830,41.86992267150,,,,,,,,,,,,,,,,Y
24,24,Payne Park,LP,Randall,Pawtucket,MUN,,,,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,Y,-71.39183232920,41.86948987560,,,,,,,,,,,,,,,,N
25,25,Randall St. Park,LP,Randall,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,-71.39422204880,41.86953855400,,,,,,,,,,,,,,,,N
26,26,Dean Ave. Field,LP,Adams,Johnston,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.49775313620,41.86827217140,,,,,,,,,,,,,,,,N
