ID	OBJECTID	GoRI_TestFlag	GoRI_subset	F_Name	F_Type	Street	Town	OwnerTyp	P_Ground	B_Field	S_Field	F_Field	M_Field	B_Court	T_Court	V_Court	Track	SkatPark	IH_Rink	SH_Rink	Golf	Fishing	Boating	Hunting	Trails	Beach	Pool	ActiveRec	RestRoom	W_Path	B_Path	StateGrant	LWCFGrant	Lon	Lat	Conservation.Area	Description	Are.there.additional.names.for.this.recreational.area	Should.Be.Included.in.GoRI.	Not.Included..Why.	Allow.Dogs	Restrooms.Available.	Americans.with.Disabilities.Act..ADA..Parking	Stroller.Friendly	Picnic.Area	Acres.Miles	Contact.Info	Contact.Info.Seasonal	Link.for.More.Info
1	1	NA	N	Quinnville Playground	Local Park	Martin	Lincoln	MUN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.51155515	41.75207533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	NA	N	Berkeley Oval	Local Park	Martin	Cumberland	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.34528756	41.88639259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	1	Y	Spring Grove Beach	Local Park	Spring Grove	Glocester	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	N	N	-71.38240482	41.81060238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	4	NA	Y	Lime Acres	Local Park	Jenckes Hill	Lincoln	MUN	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.47159759	41.84820321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	5	NA	N	Lonsdale Park / Sam Moore Field	Local Park	River	Lincoln	MUN	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.48366356	41.63710485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	6	NA	N	Lincoln Almond Little League	Local Park	Lonsdale	Lincoln	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.44360105	41.96369436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	7	NA	N	Heritage Park	Conservation Area	Chestnut Oak	Glocester	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.68619008	41.63929988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	8	NA	N	Russell Lane Field	Local Park	Russell	Smithfield	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.36843788	41.87414987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	9	NA	N	Crossman St. Playground	Local Park	Crossman	Central Falls	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.52194837	41.46387404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	10	NA	N	Sacred Heart Avenue Playground	Local Park	High Street	Central Falls	MUN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.62533221	41.66588227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	11	1	N	Jenks Park	Local Park	Summit	Central Falls	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Y	Y	-71.4929287	41.86564367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	12	NA	N	Mendes Field	Local Park	Louise Ann	Smithfield	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.42516672	41.90922216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	13	NA	N	Galego Court Field	Local Park	Leonard Jenard	Pawtucket	MUN	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.5320006	41.84130031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	14	NA	N	Esmond / War Memorial Park	Local Park	Farnum Pike	Smithfield	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.29998844	41.74818174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	15	NA	N	Byron-Winsor Park	Local Park	Winsor Park	Glocester	MUN	1	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.45646622	41.6026252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	16	NA	N	Laurel Hill Playground	Local Park	Lonsdale	Pawtucket	MUN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.47315269	41.58142007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	17	NA	N	Burgess Field	Local Park	Albert	Smithfield	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.20302047	41.54493826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	18	NA	N	Wilkinson Park	Local Park	Park	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.47031642	41.54067467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	19	NA	N	Collyer Park	Local Park	Main	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.24299068	41.48052468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	20	NA	N	Mccoy Stadium	Athletic Facility	Bend	Pawtucket	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.4609173	41.43964766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	21	NA	N	John Santos Park	Local Park	Mineral Spring	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.58502628	41.38295796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	22	NA	N	Pleasant St. Park	Local Park	Division	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.67544304	41.34807129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	23	NA	Y	Slater Park	Local Park	Pawtucket	Pawtucket	MUN	0	9	0	0	1	0	10	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	Y	Y	-71.5620784	41.20854164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	24	NA	N	Payne Park	Local Park	Randall	Pawtucket	MUN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.59078978	41.15257053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	25	NA	N	Randall St. Park	Local Park	Randall	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	N	-71.24639464	41.69712892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	26	NA	N	Dean Ave. Field	Local Park	Adams	Johnston	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.55272771	42.01098685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	27	NA	N	Berkeley Park	Local Park	Polo	Pawtucket	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	Y	-71.26147032	41.55591511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	28	1	Y	Max Read Field	Local Park	Pleasant	Pawtucket	MUN	0	0	2	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Y	Y	-71.50645569	41.60826271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	30	NA	N	Deninno Memorial Field	Local Park	Alexander	North Providence	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.44660116	42.01312872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	31	NA	N	Wanskuck Park	Local Park	Woodward	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	N	-71.54101704	41.90761051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	32	NA	N	Morley Field	Local Park	Moshassuck	Pawtucket	MUN	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	Y	-71.75236647	41.83379245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	33	NA	Y	Blackstone Blvd. Park	Local Park	Blackstone	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	N	Y	-71.32167619	41.75303517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	34	NA	Y	Stephen Olney Park	Local Park	Smithfield	North Providence	MUN	2	4	0	0	1	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	Y	Y	-71.20941082	41.58218504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	35	NA	N	Lynne Bourne Memorial Park	Local Park	Alma	East Providence	MUN	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.78637554	41.57405751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	36	NA	N	Hopkins Square	Local Park	Charles	Providence	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	Y	-71.47007532	41.53821344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	37	NA	N	Prete-Metcalf Field	Local Park	Charles	Providence	MUN	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.34235338	41.45435982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	38	NA	Y	Kimberly Ann Rock Memorial Athletic Complex	Athletic Facility	Ferris	East Providence	MUN	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	N	N	-71.69017184	41.43840127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
