ID,F_Name,F_Type,Street,Town,OwnerTyp,ConsType,ConsJuri,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,ActiveRec,Lon,Lat
593,Roger Williams National Park,LP,Main,Providence,FED,FEE,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.41054534000,41.83000946000
1937,Sachuest Pt. National Refuge,CA,Sachuest Point,Middletown,FED,FEE,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.24298858000,41.48052597000
2252,Trustom Pond National Wildlife Refuge,CA,Border,South Kingstown,FED,FEE,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.59045410000,41.37482833000
2462,Block Is. Nat. Wildlife Refuge,CA,Beach,New Shoreham,FED,FEE,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.57406616000,41.21141052000
34,Narrow River Canoe Access,FB,Boston Neck,Narragansett,FED,FEE,FED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-71.44981384000,41.44940948000
438,Max Read Field,LP,Pleasant,Pawtucket,MUN,EAS,FED,0,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-71.38112640000,41.86435317000
2553,Britto's Park,LP,Unnamed,Warren,MUN,CIN,MUN,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-71.26116943000,41.72505187000
2558,Cole Avenue Field,LP,Hugh Cole,Warren,MUN,CIN,MUN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.25711059000,41.72736358000
345,Higginson Avenue Sports Complex,LP,Crow Point,Central Falls,MUN,EAS,FED,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.40245819000,41.88519287000
949,Brayton Ave. Field,LP,Unnamed,Cranston,MUN,CIN,MUN,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.47229766000,41.74681472000
824,Park View Field,LP,Park View,Cranston,MUN,CIN,MUN,1,3,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.41453552000,41.77221298000
681,Pierce Field Athletic Complex,AF,Mercer,East Providence,MUN,CIN,MUN,1,4,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.38240814000,41.81060409000
31,Cass Park,LP,Newland,Woonsocket,MUN,EAS,FED,1,2,3,0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.48963928000,42.00384521000
76,Barry Memorial Field,LP,Smithfield,Woonsocket,MUN,CIN,MUN,0,3,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.51869964000,41.98605728000
1374,East Greenwich High School,LP,Avenger,East Greenwich,MUN,EAS,FED,1,3,4,2,4,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,-71.48366546000,41.63710403000
126,Tucker Field,AF,Mendon,Cumberland,MUN,CIN,MUN,0,2,1,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.44360351000,41.96369552000
2768,Mccoy Stadium Annex,AF,Division,Pawtucket,MUN,EAS,FED,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-71.36843872000,41.87414932000
671,Neutaconkanut Park,LP,Killingly,Providence,MUN,EAS,FED,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,-71.46331787000,41.81418991000
1023,Natick Fields,LP,Crossland,West Warwick,MUN,CIN,MUN,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-71.49633789000,41.72712707000
1075,Riverpoint Park,AF,Hay,West Warwick,MUN,EAS,FED,20,5,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-71.51525115000,41.71751022000
