ADA,About_Links,Acres_Miles,Active Rec,Additional_Names,Ball Field,Basketball Court,Beach,Bike Path,Boating,ConsJuri,ConsType,Contact_Info,Contact_Info_Seasonal,Description,Dogs_Allowed,Fishing,Football Field,GoRI_Incude_Suggestion,GoRI_TestFlag,GoRI_subset,Golf,Hunting,Ice Hockey Rink,LWCFGrant,Lat,Lon,Map_Links,Multi-use Field,Name,NoGoRI_Incude_Why,OBJECTID,OwnerTyp,Picnic_Area,Playground,Pool,RestRoom,Short_Description,Skate Park,Soccer Field,StateGrant,Steward,Street,Street_Type,Street Hockey Rink,Stroller_Friendly,Tennis,Town,Track,Trails,Type,Volleyball Court,Walking Path,KeyID
,,,0,,0,0,1,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.91343805,-71.65384876,,0,Spring Grove Beach,,3,MUN,,0,0,0,Spring Grove Beach is a Local Park located in Glocester,0,0,N,,Spring Grove,Road,0,,0,Glocester,0,0,Local Park,0,0,3
,,,1,,2,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.91061853,-71.46989147,,0,Lime Acres,,4,MUN,,0,0,0,Lime Acres is a Local Park located in Lincoln,0,0,Y,,Jenckes Hill,Road,0,,3,Lincoln,0,0,Local Park,0,0,4
,,,1,,9,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,Y,41.86992267,-71.34632972,,1,Slater Park,,23,MUN,,0,0,1,Slater Park is a Local Park located in Pawtucket,0,0,Y,,Armistice,Boulevard,0,,10,Pawtucket,0,0,Local Park,0,0,23
,,,1,,0,0,0,0,0,,,,,,,1,1,,,Y,0,0,0,Y,41.86435228,-71.38112414,,2,Max Read Field,,28,MUN,,0,0,0,Max Read Field is a Local Park located in Pawtucket,0,2,Y,,Pleasant,Street,0,,0,Pawtucket,1,0,Local Park,0,0,28
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.85210415,-71.38779002,,0,Blackstone Blvd. Park,,33,MUN,,0,0,0,Blackstone Blvd. Park is a Local Park located in Providence,0,0,N,,Blackstone,Boulevard,0,,0,Providence,0,0,Local Park,0,1,33
,,,1,,4,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.85542754,-71.45349281,,1,Stephen Olney Park,,34,MUN,,2,0,0,Stephen Olney Park is a Local Park located in North Providence,1,0,Y,,Smithfield,Road,0,,4,North Providence,0,0,Local Park,0,1,34
,,,1,,4,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.84853354,-71.34647216,,0,Kimberly Ann Rock Memorial Athletic Complex,,38,MUN,,0,0,1,Kimberly Ann Rock Memorial Athletic Complex is a Athletic Field located in East Providence,0,0,N,,Ferris,Avenue,0,,0,East Providence,0,0,Athletic Field,0,0,38
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.83378567,-71.37948814,,0,Blackstone Park / Patterson Park,,44,MUN,,0,0,0,Blackstone Park / Patterson Park is a Local Park located in Providence,0,0,N,,Parkside,Road,0,,0,Providence,0,1,Local Park,0,0,44
,,,1,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.83789995,-71.42711446,,0,Father Lennon Park,,45,MUN,,1,1,0,Father Lennon Park is a School located in Providence,0,0,N,,Camden,Avenue,0,,0,Providence,0,0,School,0,0,45
,,,1,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.82256999,-71.43073097,,0,Angelo Zuccolo Pool,,56,MUN,,0,1,1,Angelo Zuccolo Pool is a Local Park located in Providence,0,0,N,,Knight,Street,0,,0,Providence,0,0,Local Park,0,0,56
,,,1,Valley Street Field,1,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.82326371,-71.44082556,,1,John Donigian Memorial Park,,57,MUN,,1,0,0,John Donigian Memorial Park is a Local Park located in Providence,0,0,N,,Valley,Street,0,,0,Providence,0,0,Local Park,0,1,57
