Park_ID,Trail_ID's,Name,Municipality,Address,Acres,Picnic Area,Restrooms,Benches,Playground,Hiking Trails,Walking/Jogging,Mtn Biking,Biking,Swimming,Boating,Shellfishing,Freshwater Fishing,Saltwater Fishing,Sailing,Windsurfing,Concerts,Scenic Overviews,Camping,Beach Camping,Cabin Camping ,Group Camping,Tent Camping,Trailer Camping,Trailer hook-ups available,Hunting,Game Fileds,Waterpark,Basketball,Vollyball,Street Hockey,Tennis,Horseshoes,Archery,Softball,Baseball,Ice Skating,Road Races,Golf,Scuba,Soccer,Rugby,Horseback,Snowmobile,Cross Country Ski,EV Charging,Contact Information Year Round,Contact Information Seasonal,Website,Other Website,Remarks
,,Beavertail State Park,Jamestown,,153 acres,Yes,,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[401] 884-2010,[401] 423-9941,http://www.riparks.com/Locations/LocationBeavertail.html,,
,,Blackstone River Bikeway State Park,"Woonsocket, Lincoln, Cumberland",,11.5 miles,Yes,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,[401] 723-7892 ,,http://www.riparks.com/Locations/LocationBlackstoneBikeVisit.html,,
,,Brenton Point State Park,Newport,,88.9 acres,,,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[401] 847-2400,[401] 849-4562,http://www.riparks.com/Locations/LocationBrentonPoint.html,,
,,Burlingame State Park,Charlestown,,"3,100 acres",Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,[401] 322-8910,[401] 322-7337,http://www.riparks.com/Locations/LocationBurlingame.html,,
,,Pulaski State Park and Recreational Area,,,,Yes,,,,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,(401) 568-2085,,http://www.riparks.com/Locations/LocationPulaski.html,,
,,Colt State Park,Bristol,,464 acres,,,,,,Yes,,Yes,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,Yes,[401] 253-7482,,http://www.riparks.com/Locations/LocationColt.html,,
,,East Bay Bike Path State Park,"East Providence, Barrington, Warren",,14.5 miles,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(401) 253-7482,,http://www.riparks.com/Locations/LocationEastBay.html,,
,,Fishermen's Memorial State Park,Narragansett,,91 acres,Yes,,,Yes,,,,,Yes,,,,Yes,,,,,Yes,,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,(401) 789-8374,,http://www.riparks.com/Locations/LocationFishermens.html,,
,,Fort Adams State Park,Newport,,100 acres,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,Yes,[401] 847-2400,,http://www.riparks.com/Locations/LocationFortAdams.html,,
,,Fort Wetherill State Park,Jamestown,,61.5 acres,Yes,,,,Yes,,Yes,,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,(401) 423-1771,,http://www.riparks.com/Locations/LocationFortWetherill.html,,
,,Goddard Memorial State Park,Warwick,,490 acres,Yes,,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,(401) 884-0088,,http://www.riparks.com/Locations/LocationGoddard.html,,
,,Haines Memorial State Park,Barrington,,102 acres,Yes,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,(401) 253-7482,,http://www.riparks.com/Locations/LocationHaines.html,,
,,Lincoln Woods State Park,Lincoln,,627 acres,Yes,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,,(401) 723-7892,,http://www.riparks.com/Locations/LocationLincolnWoods.html,,
,,Snake Den State Park,Johnston,,"1,000 acres",,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,[401]-222-2632,,http://www.riparks.com/Locations/LocationSnakeDen.html,,
,,World War II Memorial State Park,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,(401) 723-7892 ,(401) 762-9717,http://www.riparks.com/Locations/LocationWorldWarII.html,,
,,Rocky Point State Park,,,,Yes,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[401] 884-2010 ,,http://www.riparks.com/Locations/LocationRockyPoint.html,,
,,Arcadia Management Area,,,,Yes,,,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,[401]539-2356,,http://www.riparks.com/Locations/LocationArcadia.html,,
,,Beach Pond,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[401]539-2356,,http://www.riparks.com/Locations/LocationBeachPond.html,,
,,Dame Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[401]-222-2632,,http://www.riparks.com/Locations/LocationDameFarm.html,,
,,John H. Chafee Nature Preserve,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(401) 884-2010,,http://www.riparks.com/Locations/LocationJohnHChafee.html,,
,,George Washington State Campground and Management Area,,,,Yes,,,,Yes,,Yes,,Yes,Yes,,Yes,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,[401] 568-2085,[401] 568-6700,http://www.riparks.com/Locations/LocationGeorgeWashington.html,,
,,Charlestown Breachway State Beach,Charlestown,,14 acres,,,,,,,,,Yes,Yes,Yes,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,, [401] 322-8910,[401] 364-7000,http://www.riparks.com/Locations/LocationCharlestownBreachway.html,,
,,East Beach State Beach,Charlestown,,250 acres,Yes,,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,Yea,,,,,,,,,,,,,,,,,,,,,,,,,,,,(401) 322-0450,http://www.riparks.com/Locations/LocationEastBeach.html,,
,,East Matunuck State Beach,South Kingstown,,144 acres,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,(401) 789-8374,(401) 789-8585,http://www.riparks.com/Locations/LocationEastMatunuck.html,,
,,Misquamicut State Beach,Westerly,,51 acres,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,(401) 322-8910,(401) 596-9097,http://www.riparks.com/Locations/LocationMisquamicut.html,,
,,Roger Wheeler State Beach,Narragansett,,27 acres,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(401) 789-8374,(401) 789-3563,http://www.riparks.com/Locations/LocationRogerWheeler.html,,
,,Salty Brine State Beach,Narragansett,,1.3 acres,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,(401) 789-8374,(401) 789-3563,http://www.riparks.com/Locations/LocationSaltyBrine.html,,
,,Scarborough State Beach Complex,Narragansett,,30 acres,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,(401) 789-8374,(401) 789-2324,http://www.riparks.com/Locations/LocationScarborough.html,,
