OBJECTID,ID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,Rest Room,Walking Path,Bike Path,State Grant,LWCF Grant,Lon,Lat,Short Summary,About Links,Map Links
0,"2,462",Block Island National Wildlife Refuge,Conservation Area,,New Shoreham,Federal,FEE,FED,U.S. Fish & Wildlife Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,-71.57406616,41.21141052,Block Island National Wildlife Refuge is Conservation Area located in New Shoreham,https://www.fws.gov/refuge/Block_Island/about.html,https://www.fws.gov/refuge/Block_Island/map.html
0,?169;604,Ninigret National Wildlife Refuge,Conservation Area,Beach,Charlestown,Federal,FEE,FED,U.S. Fish & Wildlife Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,-71.665916,41.363634,Ninigret National Wildlife Refuge is a Conservation Area located in Charlestown,https://www.fws.gov/refuge/Ninigret/about.html,https://www.fws.gov/refuge/Ninigret/map.html
0,"?611,614",Block Island Greenway,Conservation Area,,New Shoreham,Non-Governmental Org,,,Nature Conservancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,"71°33'29.62""W","41°10'11.22""N","Block Island Greenway is a Nature Conservancy located in New Shoreham. There are approximately 25 miles of walking trails on Block Island open to the public, free of charge.",http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/rhodeisland/placesweprotect/block-island.xml,
0,?882,John H. Chafee National Wildlife Refuge,Conservation Area,Boston Neck Road,Narragansett & South Kingstown,Federal,FEE,FED,U.S. Fish & Wildlife Service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,,,,,John H. Chafee National Wildlife Refuge is a Conservation Area located in Narragansett & South Kingstown,https://www.fws.gov/refuge/John_H_Chafee/about.html,https://www.fws.gov/refuge/John_H_Chafee/map.html
0,1937;545,Sachuest Pt. National Refuge,Conservation Area,Sachuest Point,Middletown,Federal,FEE,FED,U.S. Fish & Wildlife Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,N,N,-71.242991,41.480525,Sachuest Pt. National Refuge is a Conservation Area located in Middletown,https://www.fws.gov/refuge/Sachuest_Point/about.html,https://www.fws.gov/refuge/Saschuest_Point/map.html
0,2252;589,Trustom Pond National Wildlife Refuge,Conservation Area,Border,South Kingstown,Federal,FEE,FED,U.S. Fish & Wildlife Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,N,-71.585026,41.382958,Trustom Pond National Wildlife Refuge is a Conservation Area located in South Kingstown,https://www.fws.gov/refuge/Trustom_Pond/about.html,https://www.fws.gov/refuge/Trustom_Pond/map.html
0,,Francis Carter Preserve,Conservation Area,Carolina Back Road,Charlestown,Non-Governmental Org,,,Nature Conservancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,,,"71°39'22.70""W","41°26'19.90""N","The Carter Preserve is The Nature Conservancy's best loved sanctuary in South County. Criss-crossed by stone walls, it protects 840 acres of oak and pitch pine forest, with 5 miles of trails to explore.",http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/rhodeisland/placesweprotect/francis-c-carter-memorial-preserve.xml,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/rhodeisland/placesweprotect/carter-final-preserve-guide.pdf
0,,Lime Rock Preserve,Conservation Area,Wilbur Road,Lincoln,Non-Governmental Org,,,Nature Conservancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,"71°27'52.00""W","41°55'11.27""N",Ledges of dolomitic marble produce a special calcareous soil that nurtures 30 rare plant species - more than any other site in Rhode Island. Beautiful ferns and wildflowers grow along ridges of recrystallized limestone.,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/rhodeisland/placesweprotect/lime-rock-preserve.xml,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/rhodeisland/placesweprotect/trail-map-of-lime-rock-2015.pdf
3,3,Spring Grove Beach,Local Park,Spring Grove,Glocester,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N,-71.653849,41.913438,Spring Grove Beach is a Local Park located in Glocester,,
4,4,Lime Acres,Local Park,Jenckes Hill,Lincoln,Municipal,,,Municipal,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,Y,-71.469891,41.910619,Lime Acres is a Local Park located in Lincoln,,
23,23,Slater Park,Local Park,Pawtucket,Pawtucket,Municipal,,,Municipal,0,9,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Y,Y,-71.34633,41.869923,Slater Park is a Local Park located in Pawtucket,,
28,28,Max Read Field,Local Park,Pleasant,Pawtucket,Municipal,,,Municipal,0,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Y,Y,-71.381124,41.864352,Max Read Field is a Local Park located in Pawtucket,,
33,33,Blackstone Blvd. Park,Local Park,Blackstone,Providence,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,Y,-71.38779,41.852104,Blackstone Blvd. Park is a Local Park located in Providence,,
34,34,Stephen Olney Park,Local Park,Smithfield,North Providence,Municipal,,,Municipal,2,4,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Y,Y,-71.453493,41.855428,Stephen Olney Park is a Local Park located in North Providence,,
38,38,Kimberly Ann Rock Memorial Athletic Complex,Athletic Facility,Ferris,East Providence,Municipal,,,Municipal,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,N,N,-71.346472,41.848534,Kimberly Ann Rock Memorial Athletic Complex is a Athletic Facility located in East Providence,,
44,44,Blackstone Park / Patterson Park,Local Park,Parkside,Providence,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,Y,-71.379488,41.833786,Blackstone Park / Patterson Park is a Local Park located in Providence,,
45,45,Father Lennon Park,School,Camden,Providence,Municipal,,,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,N,N,-71.427114,41.8379,Father Lennon Park is a School located in Providence,,
56,56,Angelo Zuccolo Pool,Local Park,Gesler,Providence,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,N,N,-71.430731,41.82257,Angelo Zuccolo Pool is a Local Park located in Providence,,
57,57,John Donigian Memorial Park,Local Park,Valley,Providence,Municipal,,,Municipal,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,N,Y,-71.440826,41.823264,John Donigian Memorial Park is a Local Park located in Providence,,
