Park_ID,Trail_ID's,Name,Municipality,Address,Acres,Picnic Area,Restrooms,Benches,Playground,Hiking Trails,Walking/Jogging,Mtn Biking,Biking,Swimming,Boating,Shellfishing,Freshwater Fishing,Saltwater Fishing,Sailing,Windsurfing,Concerts,Scenic Overviews,Camping,Beach Camping,Cabin Camping ,Group Camping,Tent Camping,Trailer Camping,Trailer hook-ups available,Hunting,Game Fileds,Waterpark,Basketball,Vollyball,Street Hockey,Tennis,Horseshoes,Archery,Softball,Baseball,Ice Skating,Road Races,Golf,Scuba,Soccer,Rugby,Horseback,Snowmobile,Cross Country Ski,EV Charging,Contact Information Year Round,Contact Information Seasonal,Website,Other Website,Remarks
,,Cass Park,Woonsocket,Cass Avenue,,,,Yes,Yes,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,Yes,,,,,,,,,,,,http://www.woonsocket.org/parks.htm,https://www.visitrhodeisland.com/what-to-do/parks/2925/cass-park/,
,,Cold Spring Park,Woonsocket,Harris Avenue,,,,Yes,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,http://www.woonsocket.org/parks.htm,,
,,River Island Park,Woonsocket,Bernon Street,,,,Yes,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,http://www.woonsocket.org/parks.htm,https://www.visitrhodeisland.com/what-to-do/parks/1096/river-island-park/,
,,Wilcox Park,Westerly,44 Broad St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401-596-2877 x. 334,,https://www.visitrhodeisland.com/what-to-do/parks/1482/wilcox-park/,,
,,Apponaug Park,Warwick,Veterans Memorial Drive,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,http://www.warwickri.gov/parks-and-recreation/pages/parks-playgrounds,,
,,Clegg Field,Warwick,Winter Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.warwickri.gov/parks-and-recreation/pages/parks-playgrounds,,
,,Conimicut Point Park ,Warwick,Point Avenue,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.warwickri.gov/parks-and-recreation/pages/parks-playgrounds,,
,,George Salter Memorial Grove,Warwick,Narragansett Pkwy,,Yes,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.warwickri.gov/parks-and-recreation/pages/parks-playgrounds,https://www.visitrhodeisland.com/what-to-do/parks/2068/c-and-l-stablesgoddard-park/,
,,imPossible Dream Playground,Warwick,575 Centerville Rd # 4,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/parks/660/impossible-dream-playground/,,
,,Oakland Beach Park ,Warwick,Oakland Beach Avenue,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.warwickri.gov/parks-and-recreation/pages/parks-playgrounds,,
,,Pawtuxet Park,Warwick,Narragansett Parkway,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.warwickri.gov/parks-and-recreation/pages/parks-playgrounds,,
,,Warwick City Park,Warwick,Buttonwoods Avenue,,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,401-738-2000 X6504,,http://www.warwickri.gov/parks-and-recreation/pages/warwick-city-park-buttonwoods-beach,,
,,Winslow Park,Warwick,Airport Rd,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,
,,Pardon Gray Preserve,Tiverton,Route 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/parks/3005/pardon-gray-preserve/,,
,,Abbott Park,Providence,290 WEYBOSSET ST,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,Fountain
,,Alphonso St. Totlot,Providence,10 ALPHONSO,0.1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,
,,Amos Earley Park,Providence,7 CADILLAC DR,3.4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,Handball Court; com. garden
,,Ardoene Park,Providence,143 NARRAGANSETT AVE,4.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,
,,Ascham St. Park,Providence,323 HAWKINS ST,1.7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,
,,Bank of America City Center,Providence,4 KENNEDY PLAZA,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,Outdoor skating rink & pavilion
,,Baxter St. Park,Providence,61 BAXTER ST,0.2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,
,,Billy Taylor Park,Providence,140 CAMP ST,1.9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,
,,Biltmore Park,Providence,2 KENNEDY PLAZA,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,Numerous public sculptures
,,Blackstone Blvd. Park,Providence,BLACKSTONE BLVD.,19.3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,1.8 miles in length
,,Blackstone Park,Providence,58 PARKSIDE RD,40.3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,Wooded conservation area and trails
,,Boyle Sq.,Providence,287 SMITH ST,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 401-785-9459, x7201",,http://www.providenceri.com/parks-and-rec/neighborhood-parks,,
