trail_id,trail_name,Municipality,Address,Latitude,Longitude,Miles of Trail,Trail Rating,parking,info,restrooms,drinkwater,hike,bike,horse,ski,accessible,motor,url,phone,address,publisher,licenseebrpd,Website
,Osamequin Nature Trails and Bird Sanctuary: 'First Bird' Trails,Barrington,,,,1.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=28&src=siteList
,Osamequin Nature Trails and Bird Sanctuary: 'Second Bird' Trails,Barrington,,,,0.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=29&src=siteList
,Veterans Memorial Park - Eastern Side,Barrington,,,,2.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=27&src=siteList
,Claire D. McIntosh Wildlife Refuge/Environmental Education Ctr.,Bristol,,,,0.8 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=39&src=siteList
,Mount Hope Farm,Bristol,,,,2.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=45&src=siteList
,"Kimball Sanctuary, Watchaug Pond",Charlestown,,,,1.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=35&src=siteList
,George B. Parker Woodland Wildlife Refuge,Coventry,,,,5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=40&src=siteList
,Maxwell Mays Wildlife Refuge,Coventry,,,,2.3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=38&src=siteList
,Waterman Pond,Coventry,,,,0.1 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=44&src=siteList
,Geddes Bowen Preserve,Cumberland,,,,0.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=58&src=siteList
,High Rock/Scott Brook/Tucker Field,Cumberland,,,,3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=60&src=siteList
,Otis Smith Farm & Rowbottom Preserve,Cumberland,,,,3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=59&src=siteList
,Fisherville Brook Wildlife Refuge,Exeter,,,,5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=34&src=siteList
,Sprague Farm,Glocester,,,,6 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=17&src=siteList
,Steere Hill Farm Conservation Area,Glocester,,,,6 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=18&src=siteList
,Diamond Hill Swamp,Hopkinton,,,,0.5 miles,difficult,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=49&src=siteList
,Grills Sanctuary,Hopkinton,,,,4 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=26&src=siteList
,Kenyon Crossroads,Hopkinton,,,,2.3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=48&src=siteList
,Long Pond Woods,Hopkinton,,,,2 miles,difficult,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=37&src=siteList
,Pelloni Preserve,Hopkinton,,,,1.9 miles,difficult,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=47&src=siteList
,Dundery Brook Trail,Little Compton,,,,1.1 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=24&src=siteList
,Canonchet Farm,Narragansett,,,,1.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=46&src=siteList
,Bush Hill Nature Reserve,North Kingstown,,,,0.5 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=30&src=siteList
,Davis Memorial Wildlife Refuge,North Kingstown,,,,1.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=32&src=siteList
,Fort Wildlife Refuge,North Smithfield,,,,3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=33&src=siteList
,Oakland Forest & Meadow Preserve,Portsmouth,,,,0.6 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=19&src=siteList
,Sakonnet Greenway Trail,Portsmouth,,,,10 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=20&src=siteList
,Bradner Preserve,Richmond,,,,1.3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=10&src=siteList
,Crawley Preserve,Richmond,,,,2 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=11&src=siteList
,Caratunk Wildlife Refuge,Seekonk,,,,6 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=31&src=siteList
,Olivia's Forest,Smithfield,,,,0.7 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=55&src=siteList
,Powder Mill Ledges Wildlife Refuge,Smithfield,,,,2.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=41&src=siteList
,Wolf Hill Forest Preserve,Smithfield,,,,6 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=54&src=siteList
,Browning Woods Farm,South Kingstown,,,,3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=13&src=siteList
